County of Residence,County of Residence Code,Births_MM,percent_MM,Avg_Age_MM,Average OE Gestational Age (weeks)_MM,Average LMP Gestational Age (weeks)_MM,Average Birth Weight (grams)_MM,Average Pre-pregnancy BMI_MM,Average Number of Prenatal Visits_MM,Average Interval Since Last Live Birth (months)_MM,Average Interval Since Last Other Pregnancy Outcome (months)_MM,Births_noMM,% of Total Births_noMM,Average Age of Mother (years)_noMM,Average OE Gestational Age (weeks)_noMM,Average LMP Gestational Age (weeks)_noMM,Average Birth Weight (grams)_noMM,Average Pre-pregnancy BMI_noMM,Average Number of Prenatal Visits_noMM,Average Interval Since Last Live Birth (months)_noMM,Average Interval Since Last Other Pregnancy Outcome (months)_noMM,county-id
"Sullivan County, TN",47163.0,1449.0,0.04,27.39,38.26,38.51,3265.56,28.2,11.61,50.66,50.04,1449.0,0.04%,27.39,38.26,38.51,3265.56,28.2,11.61,50.66,50.04,47163
"Sumner County, TN",47165.0,2190.0,0.06,28.69,38.28,38.55,3296.71,27.71,10.16,50.16,46.97,2190.0,0.06%,28.69,38.28,38.55,3296.71,27.71,10.16,50.16,46.97,47165
"Washington County, TN",47179.0,1225.0,0.03,28.72,38.3,38.62,3269.28,27.63,12.18,52.34,44.65,1225.0,0.03%,28.72,38.3,38.62,3269.28,27.63,12.18,52.34,44.65,47179
"Williamson County, TN",47187.0,2341.0,0.06,32.16,38.42,38.66,3344.26,24.91,10.48,44.03,45.51,2341.0,0.06%,32.16,38.42,38.66,3344.26,24.91,10.48,44.03,45.51,47187
"Wilson County, TN",47189.0,1690.0,0.05,29.64,38.3,38.47,3293.55,27.02,10.97,49.3,50.17,1690.0,0.05%,29.64,38.3,38.47,3293.55,27.02,10.97,49.3,50.17,47189
"Unidentified Counties, TN",47999.0,30672.0,0.85,27.23,38.2,38.39,3253.71,28.31,10.96,49.22,48.42,30672.0,0.85%,27.23,38.2,38.39,3253.71,28.31,10.96,49.22,48.42,47999
"Bell County, TX",48027.0,6082.0,0.17,27.5,38.16,38.36,3220.04,28.18,11.37,50.19,47.82,6082.0,0.17%,27.5,38.16,38.36,3220.04,28.18,11.37,50.19,47.82,48027
"Bexar County, TX",48029.0,25393.0,0.7,28.65,38.11,39.06,3214.48,27.73,11.14,52.11,47.83,25393.0,0.70%,28.65,38.11,39.06,3214.48,27.73,11.14,52.11,47.83,48029
"Brazoria County, TX",48039.0,4642.0,0.13,29.26,38.1,38.36,3239.22,28.43,9.89,51.79,50.59,4642.0,0.13%,29.26,38.1,38.36,3239.22,28.43,9.89,51.79,50.59,48039
"Brazos County, TX",48041.0,2708.0,0.08,28.57,38.3,38.6,3237.73,27.95,9.93,48.53,37.59,2708.0,0.08%,28.57,38.3,38.6,3237.73,27.95,9.93,48.53,37.59,48041
"Cameron County, TX",48061.0,5679.0,0.16,27.03,37.99,38.12,3194.74,28.66,11.66,53.34,47.94,5679.0,0.16%,27.03,37.99,38.12,3194.74,28.66,11.66,53.34,47.94,48061
"Collin County, TX",48085.0,12134.0,0.34,30.76,38.36,38.59,3259.2,26.49,11.3,49.71,45.39,12134.0,0.34%,30.76,38.36,38.59,3259.2,26.49,11.3,49.71,45.39,48085
"Comal County, TX",48091.0,1729.0,0.05,29.49,38.16,38.53,3253.79,27.12,10.73,49.19,50.32,1729.0,0.05%,29.49,38.16,38.53,3253.79,27.12,10.73,49.19,50.32,48091
"Dallas County, TX",48113.0,35403.0,0.98,28.72,38.36,38.55,3227.25,27.38,10.02,53.46,52.02,35403.0,0.98%,28.72,38.36,38.55,3227.25,27.38,10.02,53.46,52.02,48113
"Denton County, TX",48121.0,10688.0,0.3,30.31,38.33,38.64,3272.56,26.98,10.49,49.72,47.1,10688.0,0.30%,30.31,38.33,38.64,3272.56,26.98,10.49,49.72,47.1,48121
"Ector County, TX",48135.0,2751.0,0.08,26.84,37.95,38.13,3161.92,28.27,11.57,53.98,57.53,2751.0,0.08%,26.84,37.95,38.13,3161.92,28.27,11.57,53.98,57.53,48135
"Ellis County, TX",48139.0,2574.0,0.07,28.75,38.32,38.59,3293.42,28.7,9.69,51.77,53.89,2574.0,0.07%,28.75,38.32,38.59,3293.42,28.7,9.69,51.77,53.89,48139
"El Paso County, TX",48141.0,10838.0,0.3,27.47,38.1,38.44,3163.16,27.3,9.45,55.29,47.71,10838.0,0.30%,27.47,38.1,38.44,3163.16,27.3,9.45,55.29,47.71,48141
"Fort Bend County, TX",48157.0,9076.0,0.25,31.14,38.06,38.11,3195.42,27.06,9.68,52.46,52.35,9076.0,0.25%,31.14,38.06,38.11,3195.42,27.06,9.68,52.46,52.35,48157
"Galveston County, TX",48167.0,3834.0,0.11,29.07,38.05,38.34,3219.41,28.32,10.68,53.14,55.36,3834.0,0.11%,29.07,38.05,38.34,3219.41,28.32,10.68,53.14,55.36,48167
"Grayson County, TX",48181.0,1759.0,0.05,27.54,38.2,38.5,3246.29,28.31,10.34,49.3,48.03,1759.0,0.05%,27.54,38.2,38.5,3246.29,28.31,10.34,49.3,48.03,48181
"Gregg County, TX",48183.0,1692.0,0.05,27.44,38.04,38.33,3201.62,29.13,10.81,53.77,51.95,1692.0,0.05%,27.44,38.04,38.33,3201.62,29.13,10.81,53.77,51.95,48183
"Guadalupe County, TX",48187.0,1811.0,0.05,29.04,38.14,38.43,3248.38,27.85,10.73,50.73,46.99,1811.0,0.05%,29.04,38.14,38.43,3248.38,27.85,10.73,50.73,46.99,48187
"Harris County, TX",48201.0,62747.0,1.74,29.1,38.11,38.2,3197.24,27.9,9.33,54.18,51.07,62747.0,1.74%,29.1,38.11,38.2,3197.24,27.9,9.33,54.18,51.07,48201
"Hays County, TX",48209.0,2881.0,0.08,29.81,38.31,38.57,3300.37,27.42,11.12,51.22,57.94,2881.0,0.08%,29.81,38.31,38.57,3300.37,27.42,11.12,51.22,57.94,48209
"Hidalgo County, TX",48215.0,13094.0,0.36,27.22,37.82,38.05,3170.66,29.08,10.56,52.04,51.2,13094.0,0.36%,27.22,37.82,38.05,3170.66,29.08,10.56,52.04,51.2,48215
"Jefferson County, TX",48245.0,3080.0,0.09,27.59,38.04,38.19,3157.88,28.31,10.51,50.59,49.06,3080.0,0.09%,27.59,38.04,38.19,3157.88,28.31,10.51,50.59,49.06,48245
"Johnson County, TX",48251.0,2342.0,0.06,28.23,38.32,38.57,3314.69,28.29,9.52,50.01,47.66,2342.0,0.06%,28.23,38.32,38.57,3314.69,28.29,9.52,50.01,47.66,48251
"Kaufman County, TX",48257.0,2265.0,0.06,28.69,38.25,38.48,3267.72,28.22,10.39,52.58,49.56,2265.0,0.06%,28.69,38.25,38.48,3267.72,28.22,10.39,52.58,49.56,48257
"Lubbock County, TX",48303.0,3973.0,0.11,27.45,38.36,38.87,3219.47,28.16,11.61,46.19,52.3,3973.0,0.11%,27.45,38.36,38.87,3219.47,28.16,11.61,46.19,52.3,48303
"McLennan County, TX",48309.0,3318.0,0.09,27.82,38.23,38.46,3266.36,28.82,10.46,49.5,57.64,3318.0,0.09%,27.82,38.23,38.46,3266.36,28.82,10.46,49.5,57.64,48309
"Midland County, TX",48329.0,2787.0,0.08,28.15,38.1,38.25,3216.99,27.52,11.36,48.98,49.97,2787.0,0.08%,28.15,38.1,38.25,3216.99,27.52,11.36,48.98,49.97,48329
"Montgomery County, TX",48339.0,8012.0,0.22,29.35,38.31,38.37,3287.73,27.5,10.07,51.21,47.75,8012.0,0.22%,29.35,38.31,38.37,3287.73,27.5,10.07,51.21,47.75,48339
"Nueces County, TX",48355.0,4304.0,0.12,27.83,38.14,38.41,3196.13,28.82,9.9,49.87,54.22,4304.0,0.12%,27.83,38.14,38.41,3196.13,28.82,9.9,49.87,54.22,48355
"Parker County, TX",48367.0,1790.0,0.05,28.92,38.31,38.58,3303.24,26.94,10.39,46.28,48.72,1790.0,0.05%,28.92,38.31,38.58,3303.24,26.94,10.39,46.28,48.72,48367
"Potter County, TX",48375.0,1537.0,0.04,26.78,38.18,38.23,3197.12,28.77,9.79,52.93,54.25,1537.0,0.04%,26.78,38.18,38.23,3197.12,28.77,9.79,52.93,54.25,48375
"Randall County, TX",48381.0,1684.0,0.05,28.07,38.28,38.46,3236.01,28.02,10.81,49.99,52.56,1684.0,0.05%,28.07,38.28,38.46,3236.01,28.02,10.81,49.99,52.56,48381
"Smith County, TX",48423.0,2990.0,0.08,27.96,38.13,38.42,3244.85,28.15,9.88,49.25,48.75,2990.0,0.08%,27.96,38.13,38.42,3244.85,28.15,9.88,49.25,48.75,48423
"Tarrant County, TX",48439.0,26945.0,0.75,28.9,38.22,38.57,3232.68,27.87,8.82,51.13,52.12,26945.0,0.75%,28.9,38.22,38.57,3232.68,27.87,8.82,51.13,52.12,48439
"Taylor County, TX",48441.0,1844.0,0.05,27.39,38.01,38.27,3201.33,28.7,9.66,48.52,44.47,1844.0,0.05%,27.39,38.01,38.27,3201.33,28.7,9.66,48.52,44.47,48441
"Tom Green County, TX",48451.0,1458.0,0.04,27.47,38.15,38.52,3247.44,28.64,11.91,49.1,48.7,1458.0,0.04%,27.47,38.15,38.52,3247.44,28.64,11.91,49.1,48.7,48451
"Travis County, TX",48453.0,15496.0,0.43,30.45,38.4,38.51,3263.4,26.14,11.56,53.37,52.62,15496.0,0.43%,30.45,38.4,38.51,3263.4,26.14,11.56,53.37,52.62,48453
"Webb County, TX",48479.0,4218.0,0.12,27.12,37.94,38.17,3193.93,28.77,9.4,52.85,53.73,4218.0,0.12%,27.12,37.94,38.17,3193.93,28.77,9.4,52.85,53.73,48479
"Wichita County, TX",48485.0,1574.0,0.04,27.08,38.23,39.11,3260.5,28.46,11.2,50.13,49.07,1574.0,0.04%,27.08,38.23,39.11,3260.5,28.46,11.2,50.13,49.07,48485
"Williamson County, TX",48491.0,7626.0,0.21,30.51,38.33,38.54,3283.31,26.9,12.12,50.79,49.15,7626.0,0.21%,30.51,38.33,38.54,3283.31,26.9,12.12,50.79,49.15,48491
"Unidentified Counties, TX",48999.0,56112.0,1.56,27.27,38.16,38.43,3235.97,28.54,10.46,49.94,48.83,56112.0,1.56%,27.27,38.16,38.43,3235.97,28.54,10.46,49.94,48.83,48999
"Cache County, UT",49005.0,2072.0,0.06,28.33,38.33,38.41,3284.43,27.01,11.17,40.6,43.47,2072.0,0.06%,28.33,38.33,38.41,3284.43,27.01,11.17,40.6,43.47,49005
"Davis County, UT",49011.0,4836.0,0.13,29.24,38.25,38.44,3257.87,26.67,11.47,42.26,41.29,4836.0,0.13%,29.24,38.25,38.44,3257.87,26.67,11.47,42.26,41.29,49011
"Salt Lake County, UT",49035.0,14708.0,0.41,29.34,38.33,38.53,3239.22,26.61,10.94,46.54,43.0,14708.0,0.41%,29.34,38.33,38.53,3239.22,26.61,10.94,46.54,43.0,49035
"Utah County, UT",49049.0,11828.0,0.33,28.55,38.34,38.51,3280.19,25.93,10.97,39.44,41.94,11828.0,0.33%,28.55,38.34,38.51,3280.19,25.93,10.97,39.44,41.94,49049
"Washington County, UT",49053.0,2298.0,0.06,28.33,38.4,38.59,3302.73,25.96,10.07,43.37,40.67,2298.0,0.06%,28.33,38.4,38.59,3302.73,25.96,10.07,43.37,40.67,49053
"Weber County, UT",49057.0,3462.0,0.1,28.23,38.17,38.41,3212.93,27.66,10.75,45.14,38.36,3462.0,0.10%,28.23,38.17,38.41,3212.93,27.66,10.75,45.14,38.36,49057
"Unidentified Counties, UT",49999.0,6349.0,0.18,28.2,38.27,38.49,3232.44,26.87,11.1,44.47,45.23,6349.0,0.18%,28.2,38.27,38.49,3232.44,26.87,11.1,44.47,45.23,49999
"Chittenden County, VT",50007.0,1415.0,0.04,31.93,38.77,38.88,3380.69,26.32,12.09,44.26,42.68,1415.0,0.04%,31.93,38.77,38.88,3380.69,26.32,12.09,44.26,42.68,50007
"Unidentified Counties, VT",50999.0,3821.0,0.11,29.91,38.71,38.89,3347.68,28.28,12.07,48.02,40.54,3821.0,0.11%,29.91,38.71,38.89,3347.68,28.28,12.07,48.02,40.54,50999
"Arlington County, VA",51013.0,2434.0,0.07,33.08,38.63,38.77,3315.04,25.65,11.08,47.27,43.45,2434.0,0.07%,33.08,38.63,38.77,3315.04,25.65,11.08,47.27,43.45,51013
"Chesterfield County, VA",51041.0,4090.0,0.11,30.19,38.34,38.51,3289.44,28.17,11.19,52.6,51.15,4090.0,0.11%,30.19,38.34,38.51,3289.44,28.17,11.19,52.6,51.15,51041
"Fairfax County, VA",51059.0,12385.0,0.34,32.08,38.45,38.79,3275.33,25.97,11.27,50.08,51.84,12385.0,0.34%,32.08,38.45,38.79,3275.33,25.97,11.27,50.08,51.84,51059
"Henrico County, VA",51087.0,3666.0,0.1,30.78,38.4,38.39,3247.07,27.3,11.54,52.46,52.9,3666.0,0.10%,30.78,38.4,38.39,3247.07,27.3,11.54,52.46,52.9,51087
"Loudoun County, VA",51107.0,4916.0,0.14,32.26,38.43,38.67,3286.23,26.05,11.46,49.45,49.49,4916.0,0.14%,32.26,38.43,38.67,3286.23,26.05,11.46,49.45,49.49,51107
"Prince William County, VA",51153.0,6210.0,0.17,30.44,38.38,38.75,3265.2,27.71,10.6,53.99,51.85,6210.0,0.17%,30.44,38.38,38.75,3265.2,27.71,10.6,53.99,51.85,51153
"Spotsylvania County, VA",51177.0,1585.0,0.04,29.28,38.43,38.76,3303.02,28.14,11.89,51.36,50.3,1585.0,0.04%,29.28,38.43,38.76,3303.02,28.14,11.89,51.36,50.3,51177
"Stafford County, VA",51179.0,1781.0,0.05,30.29,38.37,38.76,3299.07,27.7,11.56,52.21,49.96,1781.0,0.05%,30.29,38.37,38.76,3299.07,27.7,11.56,52.21,49.96,51179
"Alexandria city, VA",51510.0,2178.0,0.06,31.96,38.63,38.83,3281.68,25.86,11.49,48.72,47.71,2178.0,0.06%,31.96,38.63,38.83,3281.68,25.86,11.49,48.72,47.71,51510
"Chesapeake city, VA",51550.0,2961.0,0.08,29.58,38.28,38.73,3275.36,28.12,12.51,51.65,52.66,2961.0,0.08%,29.58,38.28,38.73,3275.36,28.12,12.51,51.65,52.66,51550
"Hampton city, VA",51650.0,1645.0,0.05,28.1,38.26,38.48,3208.89,29.08,11.44,51.61,48.15,1645.0,0.05%,28.1,38.26,38.48,3208.89,29.08,11.44,51.61,48.15,51650
"Newport News city, VA",51700.0,2496.0,0.07,28.08,38.33,38.56,3196.94,29.16,10.88,52.96,39.91,2496.0,0.07%,28.08,38.33,38.56,3196.94,29.16,10.88,52.96,39.91,51700
"Norfolk city, VA",51710.0,3079.0,0.09,27.84,38.27,38.59,3203.79,28.29,11.93,50.09,50.81,3079.0,0.09%,27.84,38.27,38.59,3203.79,28.29,11.93,50.09,50.81,51710
"Richmond city, VA",51760.0,2963.0,0.08,29.23,38.25,38.16,3152.9,28.09,10.6,55.06,49.43,2963.0,0.08%,29.23,38.25,38.16,3152.9,28.09,10.6,55.06,49.43,51760
"Virginia Beach city, VA",51810.0,5322.0,0.15,29.78,38.37,38.71,3279.87,27.53,11.91,52.05,53.86,5322.0,0.15%,29.78,38.37,38.71,3279.87,27.53,11.91,52.05,53.86,51810
"Unidentified Counties, VA",51999.0,37314.0,1.03,28.86,38.41,38.6,3275.07,28.64,11.45,50.35,50.86,37314.0,1.03%,28.86,38.41,38.6,3275.07,28.64,11.45,50.35,50.86,51999
"Benton County, WA",53005.0,2521.0,0.07,28.78,38.55,38.78,3331.46,27.83,10.61,48.54,47.95,2521.0,0.07%,28.78,38.55,38.78,3331.46,27.83,10.61,48.54,47.95,53005
"Clark County, WA",53011.0,5500.0,0.15,29.39,38.62,38.69,3329.87,27.29,10.79,47.37,47.16,5500.0,0.15%,29.39,38.62,38.69,3329.87,27.29,10.79,47.37,47.16,53011
"Cowlitz County, WA",53015.0,1189.0,0.03,27.76,38.46,38.61,3327.4,28.48,11.07,46.26,49.04,1189.0,0.03%,27.76,38.46,38.61,3327.4,28.48,11.07,46.26,49.04,53015
"King County, WA",53033.0,22412.0,0.62,31.98,38.59,38.75,3293.86,25.73,10.86,47.55,40.31,22412.0,0.62%,31.98,38.59,38.75,3293.86,25.73,10.86,47.55,40.31,53033
"Kitsap County, WA",53035.0,2677.0,0.07,29.67,38.66,38.89,3365.03,27.35,9.25,46.38,46.41,2677.0,0.07%,29.67,38.66,38.89,3365.03,27.35,9.25,46.38,46.41,53035
"Pierce County, WA",53053.0,10771.0,0.3,29.44,38.52,38.72,3327.31,28.11,10.19,49.57,42.02,10771.0,0.30%,29.44,38.52,38.72,3327.31,28.11,10.19,49.57,42.02,53053
"Skagit County, WA",53057.0,1378.0,0.04,29.18,38.65,38.77,3363.79,28.23,10.14,51.2,46.03,1378.0,0.04%,29.18,38.65,38.77,3363.79,28.23,10.14,51.2,46.03,53057
"Snohomish County, WA",53061.0,9470.0,0.26,30.86,38.58,38.74,3327.34,26.97,11.04,47.38,45.52,9470.0,0.26%,30.86,38.58,38.74,3327.34,26.97,11.04,47.38,45.52,53061
"Spokane County, WA",53063.0,5727.0,0.16,29.0,38.55,38.7,3327.93,27.68,11.04,44.35,48.21,5727.0,0.16%,29.0,38.55,38.7,3327.93,27.68,11.04,44.35,48.21,53063
"Thurston County, WA",53067.0,3034.0,0.08,29.47,38.61,38.77,3350.11,27.52,10.91,47.94,50.72,3034.0,0.08%,29.47,38.61,38.77,3350.11,27.52,10.91,47.94,50.72,53067
"Whatcom County, WA",53073.0,2019.0,0.06,30.01,38.77,38.91,3434.02,26.78,10.81,44.63,46.35,2019.0,0.06%,30.01,38.77,38.91,3434.02,26.78,10.81,44.63,46.35,53073
"Yakima County, WA",53077.0,3350.0,0.09,28.01,38.45,37.44,3305.84,29.28,10.82,56.27,44.16,3350.0,0.09%,28.01,38.45,37.44,3305.84,29.28,10.82,56.27,44.16,53077
"Unidentified Counties, WA",53999.0,11427.0,0.32,28.69,38.58,38.81,3345.01,27.97,10.8,48.66,48.72,11427.0,0.32%,28.69,38.58,38.81,3345.01,27.97,10.8,48.66,48.72,53999
"Berkeley County, WV",54003.0,1464.0,0.04,28.19,38.24,38.61,3285.74,29.33,11.61,51.02,44.76,1464.0,0.04%,28.19,38.24,38.61,3285.74,29.33,11.61,51.02,44.76,54003
"Kanawha County, WV",54039.0,1715.0,0.05,27.48,37.92,38.08,3191.9,28.55,11.25,48.95,47.99,1715.0,0.05%,27.48,37.92,38.08,3191.9,28.55,11.25,48.95,47.99,54039
"Unidentified Counties, WV",54999.0,13670.0,0.38,27.31,38.1,38.31,3225.28,28.65,11.17,47.54,43.21,13670.0,0.38%,27.31,38.1,38.31,3225.28,28.65,11.17,47.54,43.21,54999
"Brown County, WI",55009.0,3008.0,0.08,29.14,38.3,38.58,3301.01,28.21,13.09,42.93,37.83,3008.0,0.08%,29.14,38.3,38.58,3301.01,28.21,13.09,42.93,37.83,55009
"Dane County, WI",55025.0,5433.0,0.15,31.02,38.54,38.59,3314.46,26.76,10.99,44.81,41.72,5433.0,0.15%,31.02,38.54,38.59,3314.46,26.76,10.99,44.81,41.72,55025
"Fond du Lac County, WI",55039.0,1012.0,0.03,29.17,38.29,38.47,3316.92,28.28,11.29,44.97,36.33,1012.0,0.03%,29.17,38.29,38.47,3316.92,28.28,11.29,44.97,36.33,55039
"Kenosha County, WI",55059.0,1704.0,0.05,29.05,38.34,38.54,3285.21,28.67,11.49,49.07,40.81,1704.0,0.05%,29.05,38.34,38.54,3285.21,28.67,11.49,49.07,40.81,55059
"La Crosse County, WI",55063.0,1131.0,0.03,30.29,38.68,38.77,3357.11,28.21,10.72,45.07,40.22,1131.0,0.03%,30.29,38.68,38.77,3357.11,28.21,10.72,45.07,40.22,55063
"Marathon County, WI",55073.0,1404.0,0.04,29.15,38.38,38.59,3318.92,28.59,10.4,41.65,39.44,1404.0,0.04%,29.15,38.38,38.59,3318.92,28.59,10.4,41.65,39.44,55073
"Milwaukee County, WI",55079.0,11754.0,0.33,28.96,38.2,38.4,3170.86,28.64,10.83,49.26,49.39,11754.0,0.33%,28.96,38.2,38.4,3170.86,28.64,10.83,49.26,49.39,55079
"Outagamie County, WI",55087.0,2151.0,0.06,29.69,38.43,38.58,3344.83,28.14,14.12,42.98,39.34,2151.0,0.06%,29.69,38.43,38.58,3344.83,28.14,14.12,42.98,39.34,55087
"Racine County, WI",55101.0,2179.0,0.06,28.83,38.12,38.39,3215.93,28.95,10.91,47.51,39.97,2179.0,0.06%,28.83,38.12,38.39,3215.93,28.95,10.91,47.51,39.97,55101
"Rock County, WI",55105.0,1731.0,0.05,28.46,38.33,38.58,3304.94,28.91,11.37,48.97,48.89,1731.0,0.05%,28.46,38.33,38.58,3304.94,28.91,11.37,48.97,48.89,55105
"Sheboygan County, WI",55117.0,1118.0,0.03,29.31,38.39,38.56,3303.22,28.56,11.51,46.06,40.16,1118.0,0.03%,29.31,38.39,38.56,3303.22,28.56,11.51,46.06,40.16,55117
"Walworth County, WI",55127.0,906.0,0.03,29.4,38.49,38.71,3344.92,28.36,11.76,45.87,42.79,906.0,0.03%,29.4,38.49,38.71,3344.92,28.36,11.76,45.87,42.79,55127
"Washington County, WI",55131.0,1260.0,0.03,30.52,38.26,38.52,3296.11,27.51,12.32,44.35,39.69,1260.0,0.03%,30.52,38.26,38.52,3296.11,27.51,12.32,44.35,39.69,55131
"Waukesha County, WI",55133.0,3808.0,0.11,31.51,38.38,38.56,3315.8,26.55,12.77,41.26,39.49,3808.0,0.11%,31.51,38.38,38.56,3315.8,26.55,12.77,41.26,39.49,55133
"Winnebago County, WI",55139.0,1715.0,0.05,29.45,38.46,38.65,3321.59,28.72,13.39,45.59,42.07,1715.0,0.05%,29.45,38.46,38.65,3321.59,28.72,13.39,45.59,42.07,55139
"Unidentified Counties, WI",55999.0,20058.0,0.56,29.2,38.5,38.7,3360.13,28.46,11.14,42.91,43.95,20058.0,0.56%,29.2,38.5,38.7,3360.13,28.46,11.14,42.91,43.95,55999
"Unidentified Counties, WY",56999.0,6109.0,0.17,28.29,38.32,38.41,3172.34,27.06,10.79,45.28,44.94,6109.0,0.17%,28.29,38.32,38.41,3172.34,27.06,10.79,45.28,44.94,56999
